ID	LIST2018.1	LIST2018.2	VMA6.1	VMA6.2	D3_15.1	D3_15.2	L1_36.1	L1_36.2	R4_33.1	R4_33.2	R1_75.1	R1_75.2	R4_26.1	R4_26.2	R4_100.1	R4_100.2	R1_80.1	R1_80.2	LIST2020.1	LIST2020.2	R1_169.1	R1_169.2	VMA8.1	VMA8.2	LIST2015.1	LIST2015.2	R4_114.1	R4_114.2	D2_185.1	D2_185.2
2023_0044_AF4_combined	109	134	240	242	162	162	100	100	204	204	148	152	248	248	175	175	110	110	187	193	162	162	248	264	174	174	128	138	206	212
2023_0045_AF2_combined	109	134	240	242	162	162	100	110	204	208	152	152	248	250	175	175	110	108	187	193	162	156	264	264	174	176	128	138	206	206
2023_0048_AF1	109	134	240	242	162	166	100	100	204	204	148	152	248	250	175	179	110	110	187	187	162	156	264	264	174	174	138	138	206	206
2023_0049_AF3	109	109	240	240	162	156	100	100	204	208	148	152	250	250	175	175	110	110	187	187	156	156	264	264	176	176	138	138	206	212
2023_0060	117	117	240	240	166	156	100	100	204	204	148	152	248	250	175	175	110	108	187	187	162	162	248	264	174	182	138	134	206	206
2023_0061_AF1	134	134	242	242	162	162	100	100	204	208	152	152	248	248	175	179	110	108	187	193	156	156	248	264	182	182	138	134	206	206
2023_0134_F4	134	117	240	242	166	166	100	100	204	204	148	140	248	250	175	179	110	110	187	187	162	156	264	264	174	182	128	138	206	212
2023_0141_AF2	109	134	240	242	162	166	100	100	204	208	152	152	248	248	175	175	110	110	187	187	156	156	264	264	174	182	138	138	206	206
2023_0502_AF2	134	117	242	242	162	156	100	100	204	208	152	152	248	250	175	179	108	108	187	187	162	156	264	264	174	176	138	134	206	206
2023_0510_AF1	109	134	240	242	162	156	100	110	204	204	148	152	248	250	175	179	110	108	187	193	162	156	264	264	174	182	128	138	206	206
2023_0520B	134	117	240	240	162	162	100	110	204	208	152	152	248	248	175	175	110	108	187	187	156	156	264	264	174	176	134	134	206	206
2023_0771_P5	109	109	242	242	162	156	100	100	204	208	152	140	248	250	175	179	110	108	187	187	156	156	248	264	174	176	128	138	206	212
2023_1196_AF1_combined	109	117	242	242	162	156	110	110	204	208	148	148	248	250	175	175	110	110	187	193	156	156	248	264	176	182	138	138	206	206
2023_1200_AF1	109	134	240	240	162	156	110	110	204	208	148	152	248	248	175	175	110	110	187	187	162	156	248	246	174	182	128	138	206	206
2023_1333_AF1	109	117	240	240	162	166	100	110	204	208	152	152	248	250	175	175	110	108	187	187	156	156	248	264	174	182	138	138	206	206
