Sample,Country,Year
1Alphen,Netherlands,2024
1A,Portugal,2022
1Bord13-17,France,2023
1KARL,Germany,2018
1SPV,Jersey,2023
2023-0044-AF4,UK,2023
2023-0045-AF2,UK,2023
2023-0048-AF1,UK,2023
2023-0049-AF3,UK,2023
2023-0060,UK,2023
2023-0061-AF1,UK,2023
2023-0134-F4,UK,2023
2023-0141-AF2,UK,2023
2023-0502-AF2,UK,2023
2023-0510-AF1,UK,2023
2023-0520B,UK,2023
2023-0771-P5,UK,2023
2023-1196-AF1,UK,2023
2023-1200-AF1,UK,2023
2023-1333-AF1,UK,2023
2023-1398-AF1,UK,2023
2023-1590-AF3,UK,2023
2023-1591-F1,UK,2023
2023-1656-AF5,UK,2023
2023-1672-AF2,UK,2023
2023-1674-AF2,UK,2023
2023-1676-AF1,UK,2023
2023-1677-AF4,UK,2023
2023-1678-AF1,UK,2023
2023-1679-AF2,UK,2023
2023-1681-AF3,UK,2023
2023-1682-AF2,UK,2023
2023-1683-AF2,UK,2023
2023-1684-AF3,UK,2023
2023-2001-FA4,UK,2023
2023-2002-P1,UK,2023
2023-2010-AF2,UK,2023
2023-2031-AF3,UK,2023
2023-2032-AF3,UK,2023
2023-2412-T1,UK,2023
2023-2413-F4,UK,2023
2023-2414-AF2,UK,2023
2023-2415-AF1,UK,2023
2023-2417-AF1,UK,2023
2023-2610-AF1,UK,2023
2023-2614-AF2,UK,2023
2023-2824-AF1,UK,2023
2023-2825-AF1,UK,2023
2023-2826-AF1,UK,2023
2023-2994-T2,UK,2023
2023-2998-F3,UK,2023
2023-2999-AF1,UK,2023
2023-3019-AF2,UK,2023
2023-3020-AF1,UK,2023
2023-3095-AF3,UK,2023
2023-3193-T2,UK,2023
2023-3276-AF1,UK,2023
2023-3423-AF,UK,2023
2023-3689-AF2,UK,2023
2023-3690-AF1,UK,2023
2023-3706-AF6,UK,2023
2023-3876-AF3,UK,2023
2023-3910-AF9,UK,2023
2023-3939-T4,UK,2023
2Bord20-21,France,2023
2Boul,France,2023
2CV,Jersey,2023
2HAM,Germany,2021
2Steenbergen,Netherlands,2024
4HDF,Jersey,2023
4IS,Jersey,2023
4NL,Netherlands,2017
A2,Belgium,2019
AH012,UK,2016
AH-2024-004248-AF05,UK,2024
AH-2024-1201-AF05,UK,2024
AH-2024-1295-AF08,UK,2024
AH-2024-2184-AF01,UK,2024
AH-2024-2196-AF01,UK,2024
AH-2024-2199-AF03,UK,2024
AH-2024-2373-AF03,UK,2024
AH-2024-2376-TA04,UK,2024
AH-2024-2377-AF04,UK,2024
AH-2024-2683-L2,UK,2024
AH-2024-2699-AF02,UK,2024
AH-2024-2759,UK,2024
AH-2024-2803-AF06,UK,2024
AH-2024-2817-AF08,UK,2024
AH-2024-2818-AF05,UK,2024
AH-2024-3574-AF04,UK,2024
AH-2024-3576-AF01,UK,2024
AH-2024-3838-AF01,UK,2024
AsAd48,UK,2021
Dray-TA6,UK,2019
FOW2-TA2,UK,2018
FOWTA1-2023-Extract,UK,2018
Ham1-TA5,UK,2018
HAM2-TA9,UK,2018
Lux-3,Luxembourg,2021
Ray-AdF77,UK,2022
SE1912495-L6,UK,2019
SE192506-TA6,UK,2019
SE20-2833AD16,UK,2020
WVU3-2023-Extract,UK,2017
