K,Reps,Mean_LnP,Stdev_LnP,Ln_prime,Abs_Ln_double_prime,Delta_K
1,10,-12785.3,0.9661,NA,NA,NA
2,10,-12774.33,127.047,10.97,268.09,2.110164
3,10,-13031.45,454.6144,-257.12,684.59,1.50587
4,10,-13973.16,1446.1188,-941.71,218.04,0.150776
5,10,-15132.91,2336.5919,-1159.75,387.44,0.165814
6,10,-16680.1,2169.5612,-1547.19,1096.52,0.505411
7,10,-19323.81,2587.1444,-2643.71,2789.74,1.078309
8,10,-19177.78,5390.3063,146.03,480.8,0.089197
9,10,-19512.55,6276.3512,-334.77,1524.76,0.242937
10,10,-18322.56,2504.774,1189.99,NA,NA
